MaxTemp,MinTemp,AvgDewPoint,AvgWindSpeed,AvgDayPrecip,Class
64.7,41.8,14.18222997,0.81184669,0.000001,1
66.3,42.8,15.52543554,1.181184669,0.000001,1
70.9,43.5,15.17889273,1.01384083,0.000001,1
67.9,45.9,11.62787456,1.066202091,0.000001,1
72.3,47.1,20.23449477,1.780487805,0.000001,1
71.4,47.9,22.37463768,4.673913043,0.000001,1
69.7,43.6,23.31944444,3.951388889,0.000001,1
70.4,42.9,18.88432056,2.68641115,0.000001,1
66,44.6,18.57750865,6.024221453,0.000001,1
63.8,48,7.027368421,4.126315789,0.000001,1
84.7,39.6,38.15418719,0.704926108,0.000001,1
82.2,45.1,46.89965157,0.636933798,0.000001,1
79.3,41.2,41.23286713,0.841958042,0.000001,1
80.6,34.3,35.84773519,0.518466899,0.000001,1
85.1,40.1,40.19233449,0.585714286,0.000001,1
90,38.7,34.79651568,0.553658537,0.000001,1
90.1,40.8,33.46202091,0.463066202,0.000001,1
90.1,40.5,34.73286713,0.491608392,0.000001,1
88,41.7,37.87874564,0.560278746,0.000001,1
86.9,43.2,38.35121951,0.791637631,0.000001,1
89.6,36.7,33.93763066,0.545296167,0.000001,1
83.3,50.4,34.21084337,0.430120482,0.000001,1
79.5,52.7,53.71083744,0.518466899,0.000001,1
80.1,50,52.34947735,0.585714286,0.000001,1
83.5,51.3,52.52334495,0.553658537,0.000001,1
86.2,53.1,46.54947735,0.463066202,0.000001,1
83.8,53.2,46.64181185,0.491608392,0.000001,1
85.5,51.4,45.86097561,0.560278746,0.000001,1
87.1,52.7,40.30696864,0.791637631,0.000001,1
86.4,54.7,43.71045296,0.545296167,0.000001,1
84.7,54,46.00452962,0.518466899,0.000001,1
85.5,59.5,49.52229965,0.585714286,0.000001,1
83.8,54.5,49.34491228,0.553658537,0.000001,1
81.1,61.5,48.4060241,0.463066202,0.000001,1
84.9,48,50.92537313,0.491608392,0.000001,1
85.3,45.7,50.41489362,0.560278746,0.000001,1
90.5,46.5,49.96842105,0.791637631,0.000001,1
90.6,47.7,44.86315789,0.545296167,0.000001,1
89.6,47.2,42.48421053,1.389473684,0.000001,1
91.5,44.2,45.09574468,1.319148936,0.000001,1
91.9,45.9,38.16842105,1.4,0.000001,1
